Paige Carol Mike Jason Alice Howard Danielle Bob Sam Robert Amanda Bob Steve Ted Elizabeth 
Elizabeth Robert Bob Danielle Paige Steve Sam Amanda Alice Bob Howard Jason Carol Ted Mike 
Paige Danielle Bob Ted Bob Jason Carol Amanda Alice Sam Howard Steve Robert Mike Elizabeth 
Ted Jason Robert Bob Elizabeth Amanda Steve Bob Danielle Mike Alice Carol Sam Paige Howard 
Mike Jason Elizabeth Steve Bob Paige Howard Alice Amanda Ted Sam Danielle Robert Bob Carol 
Mike Robert Danielle Paige Carol Bob Sam Ted Steve Alice Elizabeth Amanda Jason Howard Bob 
Bob Jason Elizabeth Bob Robert Ted Carol Sam Mike Danielle Howard Amanda Paige Alice Steve 
Paige Howard Elizabeth Jason Bob Robert Amanda Sam Ted Bob Carol Mike Steve Alice Danielle 
Bob Robert Ted Amanda Carol Sam Steve Paige Danielle Howard Alice Elizabeth Mike Bob Jason 
Jason Sam Amanda Bob Alice Steve Robert Elizabeth Mike Bob Carol Ted Howard Danielle Paige 
